one_hour_interval;station_id;latitude;longitude;avg_temp;qlevel
2019-01-26 07:00:00;211_H;53.824167;2.945278;8.2;0
2019-01-26 08:00:00;211_H;53.824167;2.945278;8.1;0
2019-01-26 09:00:00;211_H;53.824167;2.945278;7.9;0
2019-01-26 10:00:00;211_H;53.824167;2.945278;7.8;0
2019-01-26 11:00:00;211_H;53.824167;2.945278;7.6;0
2019-01-26 12:00:00;211_H;53.824167;2.945278;7.5;0
2019-01-26 13:00:00;211_H;53.824167;2.945278;7.3;0
2019-01-26 14:00:00;211_H;53.824167;2.945278;7.2;0
2019-01-26 15:00:00;211_H;53.824167;2.945278;7.3;0
2019-01-26 16:00:00;211_H;53.824167;2.945278;7.5;0
2019-01-26 17:00:00;211_H;53.824167;2.945278;7.7;0
2019-01-26 18:00:00;211_H;53.824167;2.945278;7.7;0
2019-01-26 19:00:00;211_H;53.824167;2.945278;7.4;0
2019-01-26 20:00:00;211_H;53.824167;2.945278;7.7;0
2019-01-26 21:00:00;211_H;53.824167;2.945278;7.1;0
2019-01-26 22:00:00;211_H;53.824167;2.945278;7.2;0
2019-01-26 23:00:00;211_H;53.824167;2.945278;7.3;0
2019-01-27 00:00:00;211_H;53.824167;2.945278;7.3;0
2019-01-25 00:00:00;212_H;52.918056;4.150278;-0.2;0
2019-01-25 01:00:00;212_H;52.918056;4.150278;0.0;0
2019-01-25 02:00:00;212_H;52.918056;4.150278;-0.2;0
2019-01-25 03:00:00;212_H;52.918056;4.150278;0.0;0
2019-01-25 04:00:00;212_H;52.918056;4.150278;-0.1;0
2019-01-25 05:00:00;212_H;52.918056;4.150278;-0.3;0
2019-01-25 06:00:00;212_H;52.918056;4.150278;-0.1;0
2019-01-25 07:00:00;212_H;52.918056;4.150278;0.5;0
2019-01-25 08:00:00;212_H;52.918056;4.150278;1.7;0
2019-01-25 09:00:00;212_H;52.918056;4.150278;2.5;0
2019-01-25 10:00:00;212_H;52.918056;4.150278;3.4;0
2019-01-25 11:00:00;212_H;52.918056;4.150278;4.3;0
2019-01-25 12:00:00;212_H;52.918056;4.150278;4.9;0
2019-01-25 13:00:00;212_H;52.918056;4.150278;5.2;0
2019-01-25 14:00:00;212_H;52.918056;4.150278;6.3;0
2019-01-25 15:00:00;212_H;52.918056;4.150278;7.2;0
2019-01-25 16:00:00;212_H;52.918056;4.150278;7.8;0
2019-01-25 17:00:00;212_H;52.918056;4.150278;8.4;0
2019-01-25 18:00:00;212_H;52.918056;4.150278;8.7;0
2019-01-25 19:00:00;212_H;52.918056;4.150278;8.9;0
2019-01-25 20:00:00;212_H;52.918056;4.150278;8.9;0
2019-01-25 21:00:00;212_H;52.918056;4.150278;8.7;0
2019-01-25 22:00:00;212_H;52.918056;4.150278;8.6;0
2019-01-25 23:00:00;212_H;52.918056;4.150278;8.8;0
